placaId,empresaId,codigo,nome,slug,prefix,status,selectedKey,lastModified,size,localPath,error,createdAt,updatedAt
69d7cab19b9a603e468391e9,699deac081306d4261f00d33,CAU-22,,,empresas/699deac081306d4261f00d33/plates/69d7cab19b9a603e468391e9/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7cab19b9a603e468391e9/main/6a26fd7ee0f9428da1ce490d.webp,2026-06-09T12:18:59.365Z,160694,G:\Inmidia V4\BECKEND\latest-plate-images\69d7cab19b9a603e468391e9\image.webp,,2026-04-09T15:50:09.120Z,2026-06-08T17:36:02.186Z
69d7cb2c9b9a603e468391fb,699deac081306d4261f00d33,CAU-23,,,empresas/699deac081306d4261f00d33/plates/69d7cb2c9b9a603e468391fb/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7cb2c9b9a603e468391fb/main/6a270292e0f9428da1ce50ca.webp,2026-06-09T12:19:01.646Z,132670,G:\Inmidia V4\BECKEND\latest-plate-images\69d7cb2c9b9a603e468391fb\image.webp,,2026-04-09T15:52:12.766Z,2026-06-09T15:36:10.425Z
69d7cc1e9b9a603e4683920d,699deac081306d4261f00d33,CAU-24,,,empresas/699deac081306d4261f00d33/plates/69d7cc1e9b9a603e4683920d/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7cc1e9b9a603e4683920d/main/6a26fec0e0f9428da1ce4a03.webp,2026-06-09T12:19:03.073Z,208544,G:\Inmidia V4\BECKEND\latest-plate-images\69d7cc1e9b9a603e4683920d\image.webp,,2026-04-09T15:56:14.108Z,2026-06-08T17:41:27.652Z
69d7cc419b9a603e4683921f,699deac081306d4261f00d33,CAU-25,,,empresas/699deac081306d4261f00d33/plates/69d7cc419b9a603e4683921f/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7cc419b9a603e4683921f/main/6a2703ace0f9428da1ce51bd.webp,2026-06-09T12:19:04.675Z,187564,G:\Inmidia V4\BECKEND\latest-plate-images\69d7cc419b9a603e4683921f\image.webp,,2026-04-09T15:56:49.376Z,2026-06-09T15:36:17.617Z
69d7cc7f9b9a603e46839231,699deac081306d4261f00d33,CAU-26,,,empresas/699deac081306d4261f00d33/plates/69d7cc7f9b9a603e46839231/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7cc7f9b9a603e46839231/main/6a27015fe0f9428da1ce4f0e.webp,2026-06-09T12:19:06.773Z,152806,G:\Inmidia V4\BECKEND\latest-plate-images\69d7cc7f9b9a603e46839231\image.webp,,2026-04-09T15:57:51.145Z,2026-06-08T17:52:36.218Z
69d7cd1b9b9a603e46839243,699deac081306d4261f00d33,CAU-27,,,empresas/699deac081306d4261f00d33/plates/69d7cd1b9b9a603e46839243/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7cd1b9b9a603e46839243/history/6a2011f750a31e6e0adbd66e.webp,2026-06-09T12:19:08.583Z,200722,G:\Inmidia V4\BECKEND\latest-plate-images\69d7cd1b9b9a603e46839243\image.webp,,2026-04-09T16:00:27.876Z,2026-06-09T15:27:50.513Z
69d7ce089b9a603e46839255,699deac081306d4261f00d33,CAU-28,,,empresas/699deac081306d4261f00d33/plates/69d7ce089b9a603e46839255/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7ce089b9a603e46839255/main/6a26f5f3e0f9428da1ce36e8.webp,2026-06-09T12:19:09.948Z,163346,G:\Inmidia V4\BECKEND\latest-plate-images\69d7ce089b9a603e46839255\image.webp,,2026-04-09T16:04:24.065Z,2026-06-08T17:03:54.421Z
69d7ce4d9b9a603e46839267,699deac081306d4261f00d33,CAU-29,,,empresas/699deac081306d4261f00d33/plates/69d7ce4d9b9a603e46839267/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7ce4d9b9a603e46839267/history/6a1f4fb20f6568bb3dec8bea.webp,2026-06-09T12:19:11.809Z,240884,G:\Inmidia V4\BECKEND\latest-plate-images\69d7ce4d9b9a603e46839267\image.webp,,2026-04-09T16:05:33.739Z,2026-06-09T15:36:24.789Z
69d7cea89b9a603e46839275,699deac081306d4261f00d33,CAU-30,,,empresas/699deac081306d4261f00d33/plates/69d7cea89b9a603e46839275/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7cea89b9a603e46839275/main/6a26f640e0f9428da1ce381b.webp,2026-06-09T12:19:13.399Z,293512,G:\Inmidia V4\BECKEND\latest-plate-images\69d7cea89b9a603e46839275\image.webp,,2026-04-09T16:07:04.027Z,2026-06-08T17:05:22.512Z
69d7cf3c9b9a603e46839287,699deac081306d4261f00d33,CAU-31,,,empresas/699deac081306d4261f00d33/plates/69d7cf3c9b9a603e46839287/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7cf3c9b9a603e46839287/main/6a26f685e0f9428da1ce38ff.webp,2026-06-09T12:19:14.800Z,141378,G:\Inmidia V4\BECKEND\latest-plate-images\69d7cf3c9b9a603e46839287\image.webp,,2026-04-09T16:09:32.387Z,2026-06-08T17:06:18.978Z
